type,name_zh,category,content_kind,current_source,sampled_count,latest_sampled,keywords,sample_titles,notes
1,民大要闻,资讯,学校新闻,否,150,2026-09-17,学术会议;论坛;党委;入学教育;校友,国际学术会议;校馆弦歌·图书馆;党委巡察动员部署会;新生入学教育公开课;教师节庆祝表彰大会,与 type=9 内容完全相同（重复频道）
3,民族团结/民委要闻,资讯,时政新闻,否,150,2026-09-18,民族团结;民委;推普周;文艺会演,民族团结进步宣传周;推普周启动;中华民族共同体理论研修班;全国少数民族文艺会演,偏国家民委/民族团结宣传
4,时政要闻,资讯,时政新闻,否,150,2026-09-18,习近平;高质量发展;全会;会谈,习近平致信祝贺;推进中国式现代化;二十届五中全会;习近平同外方会谈,国内时政，与校园事务基本无关
5,办公通知,通知,行政通知,是（my_bgtz）,150,2026-09-17,通知;安全;放假;疫苗;施工;补贴,巡察公告;清理废旧非机动车;流感疫苗接种;中秋国庆放假安排;求职补贴申报,行政/后勤/安全/假期
6,教学通知,通知,教学通知,是（my_jxtz）,150,2026-09-18,教学;课程;选课;助教;竞赛;推免,境外访学报名;微专业招生;研究生课程;助教岗位选聘;推免启动及名额分配,推免校内遴选与名额分配在此类
8,科研通知,通知,科研通知,是（my_kytz）,150,2026-09-17,科研;讲座;项目;基金;申报,博士拔尖创新人才申报;立雪讲坛;共美数智讲堂;文华讲堂,以讲座预告和项目申报为主
9,学校新闻(重复),资讯,学校新闻,否,150,2026-09-17,同 type=1,同 type=1,与 type=1 完全重复，聚合去重需注意
10,就业创业,资讯,就业,否,150,2026-09-16,招聘;宣讲;秋招;求职;就业奖励,秋招活动总览;用人单位宣讲会;毕业生就业奖励;职业指导活动,就业/招聘类，可选接入
11,公示公告,公示,公示公告,否,150,2026-09-18,公示;中标;成交;采购;任免,宝钢奖学金评选公示;公寓辅导员拟聘公示;专业分方向公示;设备采购中标公告;推免名单与实施细则,含推免公示+大量招标采购噪声，接入需关键词过滤
32,学工通知,通知,学生事务,是（my_xgtz）,150,2026-09-18,学工;注册;奖学金;辅导员;团组织;图书馆,本科新生乘车区间;图书馆学习舱开放;勤工助学岗;团组织关系转接;奖学金评审;兼职辅导员选聘,学生事务，原插件已接入
36,院系动态,资讯,院系新闻,否,150,2026-09-18,学院;校友;见面会;比赛,专家交流发言;研究生教育督导聘任;院友座谈;学院教师基本功比赛,院系活动，非通知
